"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
1.e-10,3.527285967469894e-6,2.520279174345887e-7,3.5290350781933094e-6,2.521435152655343e-7
0.009373916949803324,3.323848987919433e-6,2.3746425360508697e-7,3.3255497976285525e-6,2.3757797807497005e-7
0.018747833799606647,3.1333033916693918e-6,2.238271108193775e-7,3.1349572845491934e-6,2.2393896549330975e-7
0.028121750649409968,2.955628883631978e-6,2.111145696474794e-7,2.9572372313726406e-6,2.1122454731633206e-7
0.03749566749921329,2.7908031916751516e-6,1.9932454489540746e-7,2.7923673535004662e-6,1.9943262622074158e-7
0.046869584349016606,2.638801739252977e-6,1.8845477348433654e-7,2.640323061923145e-6,1.8856092580749452e-7
0.056243501198819934,2.499597281187512e-6,1.7850280492946754e-7,2.501077098976294e-6,1.786069813920675e-7
0.06561741804862327,2.373159484904312e-6,1.6946599376428674e-7,2.3745991195505252e-6,1.6956813292441497e-7
0.07499133489842659,2.2594544375563235e-6,1.6134149320432351e-7,2.260855198189576e-6,1.6144151936197212e-7
0.08436525174822991,2.1584440556615164e-6,1.541262477732123e-7,2.1598072387021868e-6,1.5422407222802192e-7
0.09373916859803322,2.07008536751443e-6,1.4781698105894012e-7,2.0714122565477734e-6,1.4791250450075014e-7
0.10311308544783654,1.9943296293148925e-6,1.424101725174835e-7,1.9956214949392366e-6,1.4250328868266025e-7
0.11248700229763986,1.9311212222774903e-6,1.3790201473654214e-7,1.9323793219264217e-6,1.3799261534315358e-7
0.1218609191474432,1.8803962578996285e-6,1.342883400889952e-7,1.8816218356380627e-6,1.3437632089519895e-7
0.13123483599724653,1.8420807886572864e-6,1.3156450358238144e-7,1.8432750749513163e-6,1.3164977121481196e-7
0.14060875284704985,1.816088475996011e-6,1.2972520703417097e-7,1.8172526874563872e-6,1.2980768604410007e-7
0.14998266969685317,1.802317496957091e-6,1.287642479329123e-7,1.803452836056192e-6,1.2884388740669652e-7
0.1593565865466565,1.8006463582977075e-6,1.286741728865563e-7,1.8017540130597893e-6,1.2875095191055438e-7
0.1687305033964598,1.8109281021956828e-6,1.2944580733442917e-7,1.8120092458602246e-6,1.2951973872052848e-7
0.1781044202462631,1.8329820739348698e-6,1.3106761508627502e-7,1.83403786459272e-6,1.311387469956716e-7
0.18747833709606643,1.8665818693342212e-6,1.3352480476659886e-7,1.867613449536272e-6,1.335932201836298e-7
0.19685225394586975,1.9114370647174134e-6,1.3679802995251317e-7,1.9124455610554363e-6,1.3686384429180035e-7
0.20622617079567307,1.967164377702602e-6,1.408613939756294e-7,1.9681509003618074e-6,1.409247513920347e-7
0.21560008764547642,2.0332399321054695e-6,1.456791970888118e-7,2.034205574388313e-6,1.4574026626837804e-7
0.22497400449527974,2.1089156823348886e-6,1.5120027692552037e-7,2.109861520155487e-6,1.5125924728679753e-7
0.23434792134508306,2.1930628840056652e-6,1.5734742676563906e-7,2.1939899753541244e-6,1.574045061909602e-7
0.24372183819488638,2.283853626535697e-6,1.639958681725968e-7,2.284763010911471e-6,1.6405128385326524e-7
0.2530957550446897,2.3780409025464183e-6,1.7092457137241139e-7,2.3789336003596465e-6,1.7097857670800512e-7
0.26246967189449305,2.469093732521367e-6,1.776901495601566e-7,2.4699707444609225e-6,1.7774304426664246e-7
0.27184358874429637,2.541342771424269e-6,1.8323114637324455e-7,2.5422050777909654e-6,1.8328333229916367e-7
0.2812175055940997,2.545518547090934e-6,1.842188331727781e-7,2.546367107094005e-6,1.842710051964903e-7
0.290591422443903,2.2496142831538007e-6,1.652028937721971e-7,2.2504500341683153e-6,1.652571795950429e-7
0.29996533929370633,1.175823433897951e-6,8.837542157242779e-8,1.176647290680312e-6,8.844893750555822e-8
0.3093392561435096,6.697766154407017e-7,4.983889607925337e-8,6.705894692986641e-7,4.9938487041626164e-8
0.318713172993313,5.047031667694372e-7,3.826712535757526e-8,5.055058846822156e-7,3.8378260813095214e-8
0.32808708984311635,4.2329086892144924e-7,3.266770455098082e-8,4.2408429260435216e-7,3.27846772353421e-8
0.3374610066929196,3.7191101765055834e-7,2.9123934031588733e-8,3.7269596255714705e-7,2.924442335684706e-8
0.3468349235427229,3.343425938216043e-7,2.6509663000922828e-8,3.351198480744509e-7,2.663261409339372e-8
0.3562088403925262,3.0424148029785977e-7,2.4393683717108458e-8,3.0501180353651854e-7,2.451858967060157e-8
0.36558275724232964,2.787231446539979e-7,2.2581837735542422e-8,2.7948726678548775e-7,2.2708449500984844e-8
0.37495667409213285,2.5634634394679417e-7,2.097756799698509e-8,2.571049637794973e-7,2.110576189098805e-8
