"Invariant_GeV2","OnShell_Mean_GeV-1","OnShell_Sigma_GeV-1","Continuous_Mean_GeV-1","Continuous_Sigma_GeV-1"
0.01821873653824,8.716065504872763e-23,1.8385663661474184e-22,8.8256420627709e-23,1.859273013517393e-22
0.030640114061651694,1.4168289313886098e-6,1.0246339886091886e-7,1.4169785317094277e-6,1.0246962669566245e-7
0.04306149158506338,1.4290348849891e-6,1.0276503765512197e-7,1.4293307702602185e-6,1.027805255118191e-7
0.05548286910847508,1.3454591048713713e-6,9.662903675631777e-8,1.3458300773365408e-6,9.665010933169665e-8
0.06790424663188677,1.256955819214993e-6,9.022897701208311e-8,1.2573680943729815e-6,9.025363381905804e-8
0.08032562415529845,1.174747677016332e-6,8.430839624644524e-8,1.1751860035921374e-6,8.433571519527481e-8
0.09274700167871015,1.1016891874855775e-6,7.905671334398729e-8,1.102146420201309e-6,7.908627422857606e-8
0.10516837920212184,1.0387766637270508e-6,7.453990870357883e-8,1.0392494139959845e-6,7.457152383250255e-8
0.11758975672553354,9.864318283772744e-7,7.078548649000861e-8,9.869185783825144e-7,7.081907440047228e-8
0.13001113424894523,9.448599329644182e-7,6.780626896467845e-8,9.453601566161982e-7,6.784179045286276e-8
0.1424325117723569,9.141730613981826e-7,6.560866255279142e-8,9.146867846336046e-7,6.564608610010574e-8
0.15485388929576863,8.944390646812564e-7,6.41960386947193e-8,8.949666311706445e-7,6.423532212026578e-8
0.1672752668191803,8.857027060057378e-7,6.35702899788152e-8,8.862446451185093e-7,6.361137297134231e-8
0.179696644342592,8.879947730450937e-7,6.37325906553698e-8,8.885517216062601e-7,6.377539558045604e-8
0.19211802186600369,9.013348151868193e-7,6.468370304997072e-8,9.019074689123691e-7,6.472814198715417e-8
0.20453939938941537,9.257290662436295e-7,6.642390307291641e-8,9.263181482405137e-7,6.646988886060464e-8
0.21696077691282706,9.611625942000066e-7,6.895245442213332e-8,9.617688336318463e-7,6.899991343662648e-8
0.22938215443623877,1.0075816295127e-6,7.226637120372367e-8,1.0082057465070212e-6,7.231525612637885e-8
0.24180353195965046,1.0648556407360788e-6,7.6357806747171e-8,1.065498335221619e-6,7.640810877520222e-8
0.25422490948306214,1.1326920262075617e-6,8.120830013735168e-8,1.1333539692770257e-6,8.126006203022059e-8
0.2666462870064738,1.2104254467529922e-6,8.677472537415273e-8,1.21110727367346e-6,8.682806006651633e-8
0.2790676645298856,1.2964209046274422e-6,9.294959258540977e-8,1.2971232089357964e-6,9.300472004397368e-8
0.29148904205329723,1.3860047966219631e-6,9.942327202374994e-8,1.3867281249363953e-6,9.948061432311855e-8
0.30391041957670895,1.461594628623663e-6,1.0502507021993924e-7,1.4623394759241857e-6,1.0508558369941836e-7
0.3163317971001206,1.4115034070329427e-6,1.0233457369606882e-7,1.4122702122422823e-6,1.0240183495882176e-7
0.3287531746235323,8.108194826451265e-7,6.062866830442207e-8,8.116086243928699e-7,6.072742909867667e-8
0.341174552146944,5.588365980281199e-7,4.295945076165025e-8,5.596483905154608e-7,4.308357827809118e-8
0.3535959296703557,4.872289628830646e-7,3.8241071194442075e-8,4.880636517889003e-7,3.837600396358681e-8
0.36601730719376735,4.5628228634521187e-7,3.621700351454615e-8,4.571400447305829e-7,3.635891407693655e-8
0.37843868471717906,4.4018632657315547e-7,3.51543646281105e-8,4.410672507523707e-7,3.53017342563542e-8
0.3908600622405907,4.3122850425712495e-7,3.45454899943226e-8,4.321326096120056e-7,3.469748835920116e-8
0.40328143976400244,4.2648762927529045e-7,3.4199378821967756e-8,4.2741484599479423e-7,3.435541107771583e-8
0.41570281728741415,4.2475229606017174e-7,3.403773462860469e-8,4.257024647919004e-7,3.419727592359275e-8
0.4281241948108258,4.2551887106797074e-7,3.402914673596032e-8,4.264917384711915e-7,3.4191673708195933e-8
0.4405455723342376,4.2867295782518725e-7,3.416564553822758e-8,4.296681720173361e-7,3.433061021687914e-8
0.45296694985764924,4.3422562832112757e-7,3.4448078392213005e-8,4.3524273421151285e-7,3.4614892444946647e-8
0.46538832738106095,4.4216861527764607e-7,3.4878017875493345e-8,4.432070497833946e-7,3.5046051419930065e-8
0.47780970490447255,4.5257268291431814e-7,3.5461406876666097e-8,4.5363177005463964e-7,3.5629992057224334e-8
0.4902310824278843,4.656039166687474e-7,3.621028976265525e-8,4.6668286253436736e-7,3.637872454790431e-8
0.502652459951296,4.816565260622127e-7,3.715193170437394e-8,4.827544136574424e-7,3.731947860491872e-8
0.5150738374747076,5.016871809972215e-7,3.8351669456196105e-8,5.028029649526097e-7,3.851753672221101e-8
0.5274952149981194,5.279730659793134e-7,3.9964893191441685e-8,5.291055671332124e-7,4.0128172341527776e-8
0.5399165925215311,5.657945998684812e-7,4.2353026006064515e-8,5.669424997161448e-7,4.251253528160824e-8
0.5523379700449428,6.273649898004653e-7,4.635613089335092e-8,6.285268248095594e-7,4.651007896217514e-8
0.5647593475683544,7.424272236634381e-7,5.403531912450986e-8,7.436013794550096e-7,5.4180671964417974e-8
0.5771807250917661,9.945895631291055e-7,7.126550089005164e-8,9.957742685232437e-7,7.139695114741795e-8
0.5896021026151779,1.6969598320078865e-6,1.2075981645780977e-7,1.6981531529334163e-6,1.208682739313038e-7
0.6020234801385895,4.802980682620662e-6,3.570682468477196e-7,4.804180515888308e-6,3.571382581425633e-7
0.6144448576620012,0.000012235963951255794,9.858974252241635e-7,0.000012237168018194379,9.859393564965114e-7
0.6268662351854128,2.0339774909791254e-6,1.572200301550215e-7,2.035183330934374e-6,1.572424207170122e-7
0.6392876127088246,5.826692069651659e-7,4.41797297026081e-8,5.838741706608127e-7,4.416888081602076e-8
0.6517089902322363,2.4864180488523425e-7,1.9322802361591142e-8,2.4984304764612373e-7,1.9282893507047975e-8
0.664130367755648,1.2949307915387945e-7,1.0442453371599188e-8,1.3068755399082789e-7,1.0379843667676001e-8
0.6765517452790597,7.54205681943138e-8,6.3263525740683806e-9,7.660501875051471e-8,6.246885901635969e-9
0.6889731228024714,4.69913680988865e-8,4.094472609410852e-9,4.816232145768122e-8,4.003200718070332e-9
0.701394500325883,3.0544568614655455e-8,2.756217111768864e-9,3.169832796850972e-8,2.6576503060074297e-9
0.7138158778492948,2.039753174280558e-8,1.8985837959410403e-9,2.1530168923355148e-8,1.7970281058995979e-9
