"Run","Seed","BestYukawa2Cs2Ms6MB2","BestLoss","CoarseBestY","Alpha","GammaTotal","mPi","MEta","mRho","mOmega","mPhi","GammaRho","GammaOmega","GammaPhi","mKP","mN","g","zNS","zSmBm","PhiPdeg","PhiVdeg"
1,12346,0.00007951515151515151,1.5885154664604313,0.00007878787878787879,0.007297525671964907,1.2483802087658963e-6,0.1349769538434105,0.5478680129429994,0.7750320711444226,0.7826298545619806,1.0194649417761057,0.1502223130306462,0.008681154179396093,0.0042617823847317556,0.4936633409025727,0.9382720883407865,0.7105738318775309,0.827185290871785,0.6363742467602318,41.716233823699355,3.3034294489633296
2,12347,0.00009042424242424242,1.5581340333388178,0.0000909090909090909,0.007297525658077995,1.3307895475562333e-6,0.13497661064643987,0.5478431460984443,0.7752820712864578,0.7824972755692817,1.0194542440583787,0.1497936775907217,0.008731168744306825,0.004258259165160358,0.4936458639072513,0.9382720880221249,0.7182638387662469,0.781505433210454,0.6766873893203653,41.542342277867924,3.4260365650382676
3,12348,0.00008078787878787878,1.575224815170622,0.0000803030303030303,0.007297525705552024,1.2266109490513874e-6,0.13497557294277102,0.5478447844303052,0.775304922237914,0.7826489858785446,1.0194454856500985,0.1497864181593989,0.008767523438316932,0.004231888051263236,0.4936809477060065,0.9382720882665904,0.6959155907537472,0.8616319950096867,0.6579682205382529,41.905253171924066,3.359109809853837
4,12349,0.00006757575757575758,1.6481399667907821,0.00006818181818181818,0.007297525681173065,1.2642042354406993e-6,0.1349773013237347,0.5478447078134314,0.7749703815111819,0.782574476091314,1.0194634535882932,0.14859804646844307,0.008744532917983331,0.004254354275904692,0.4936904976287835,0.9382720877786367,0.7204539511113769,0.8396433294817497,0.6441466838790294,41.5030217321634,3.3611935338018424
5,12350,0.00008054545454545455,1.5444965321789597,0.0000803030303030303,0.007297525664248973,1.2920034080305793e-6,0.134976517242862,0.5478576974262225,0.7751584495288135,0.7825471408807673,1.0194540890574975,0.149236135537671,0.008795810708717924,0.00423837426732767,0.49365124750537065,0.9382720885823557,0.7107529388181432,0.8377570136543009,0.655166455622454,42.668826846586875,3.418549947298604
6,12351,0.00009963636363636365,1.5589381397675646,0.0001,0.007297525667716245,1.275760515974047e-6,0.13497652749091546,0.5478477475776252,0.775332217919759,0.7827088462228659,1.0194536792900974,0.1495906483953397,0.008634610795791482,0.004242911857629632,0.49370782665526497,0.9382720877021343,0.6794324896847199,0.831553322389736,0.6673703521877251,40.74244586084086,3.324917990482627
7,12352,0.00009393939393939393,1.5380567829254865,0.00009393939393939393,0.007297525691217491,1.360233748137995e-6,0.13497666825873889,0.5478432938701296,0.774886536589777,0.7826721036178117,1.019464809673484,0.14851332289360297,0.008832502719720628,0.004252824098630256,0.49365387317513454,0.9382720879967497,0.6900355308345547,0.8331979821173794,0.6366420683960449,41.712861602875094,3.3885023363083757
8,12353,0.00008763636363636364,1.560827860507111,0.00008787878787878787,0.0072975256877659544,1.266451646161737e-6,0.13497658451961525,0.5478703491658486,0.775399052231839,0.7826650244456592,1.019472152914873,0.1505804415245191,0.00864204416263368,0.004249601796036664,0.4936368156226859,0.9382720877401031,0.6979187706852119,0.8314500375879068,0.6498082014487269,41.635567073501115,3.2450269366233577
9,12354,0.00009054545454545455,1.572080759444479,0.0000909090909090909,0.007297525630130475,1.1982912192394387e-6,0.13497726115237468,0.5478729205415831,0.7747542672577624,0.7825952567752253,1.0194370186181425,0.1477122478146387,0.008327802504387293,0.004230431193151596,0.49366821108887315,0.9382720882705138,0.6954822922511574,0.8229485164335506,0.6543786653776217,41.17719484202813,3.2657983597793785
10,12355,0.00007715151515151516,1.5960232437006785,0.00007727272727272729,0.007297525654387566,1.312696540032813e-6,0.1349764787232724,0.5478626137383367,0.7756590357229892,0.7825403819431859,1.0194824372844735,0.148915896709379,0.008641323292622608,0.004246445495159035,0.4936892814022363,0.938272088478666,0.7108741641820727,0.8343293107692125,0.6497641093273567,41.71894149254865,3.2704695918903153
